com.kobakei,Android RateThisApp Library
com.splunk,Splunk
com.github.bumptech.glide,Glide Disk LRU Cache Library
org.altbeacon,Android Beacon Library
nl.siegmann.epublib,Epublib Core
com.chauthai.swipereveallayout,SwipeRevealLayout
io.opencensus,OpenCensus
com.segment.analytics.android,Apptimize Integration For Segment Android Analytics
androidx.activity,Activity
aviary,Aviary Core
com.google.guava,Guava: Google Core Libraries For Java
net.mingsoft,MS Basic
com.otaliastudios,CameraView
com.android.support,Android Support Library V4
io.segment.analytics.android,Localytics
com.pixplicity.easyprefs,EasyPrefs
com.squareup.retrofit2,Adapter: RxJava
com.androidplot,Androidplot
com.fasterxml.jackson.core,Jackson Core
org.scala-lang,Scala Library
net.sourceforge.jchardet,Java Port of Mozilla Charset Detector
commons-io,Apache Commons IO
com.google.guava,Guava: Google Core Libraries For Java
com.atlassian.studio,JIRA Studio Theme Core
com.squareup.okio,Okio
net.sf.kxml,KXML 2 IS A Small XML Pull Parser Based On The Common XML Pull API
org.codehaus.groovy,Apache Groovy
com.github.axet.fbreader,Android FBReader Library
org.jetbrains.kotlin,Kotlin Android Extensions Runtime
org.slf4j,SLF4J API Module
commons-io,Apache Commons IO
com.dreamliner,AVLoadingIndicatorView
org.dom4j,Dom4j
com.amazonaws,AWS Java SDK For Amazon S3
me.zhanghai.android.materialprogressbar,MaterialProgressBar Library
com.amazonaws,AWS Java SDK For Amazon S3
dnsjava,DNSJava
com.sendbird.sdk,Sendbird Android SDK
org.mozilla.components,Mozilla Mobile
androidx.viewpager,Android Support Library View Pager
org.jenkins-ci.plugins,Branch API Plugin
com.sylversky.library,Sugarorm
org.greenrobot,GreenDAO
org.skyscreamer,Yoga Core
com.google.guava,Guava: Google Core Libraries For Java
com.google.guava,Guava: Google Core Libraries For Java
com.facebook.litho,LithoCore
org.jetbrains.kotlin,Kotlin Android Extensions Runtime
com.github.nisrulz,EasyDeviceInfo Base
androidx.appcompat,Android AppCompat Library
software.amazon.awscdk, amazon Core
io.vertx,Vert.x Core
de.psdev.licensesdialog,LicensesDialog
me.grantland,Android AutofitTextView Library
com.orhanobut,Logger
com.google.guava,Guava: Google Core Libraries For Java
org.apache.httpcomponents,Apache HttpClient
com.leanplum,Leanplum Core
org.jetbrains.kotlin,Kotlin Android Extensions Runtime
com.mikepenz,AboutLibraries Library
javax.persistence,Javax Persistence API
org.slf4j,SLF4J API Module
org.jetbrains.kotlin,Kotlin Android Extensions Runtime
com.krux,Hyperion Core
com.google.inject,Google Guice Core Library
com.squareup.picasso,Picasso
com.github.vicpinm,ActiveAndroidRx
com.github.bumptech.glide,Glide
com.github.Raizlabs.DBFlow,DBFlow
com.esotericsoftware,Kryo
io.grpc,GRPC Stub
com.android.support,Android Support Library V4
de.hdodenhof,CircleImageView
xmlpull,XML Pull Parsing API
com.umeng.analytics,Analytics
com.theartofdev.edmodo,Android Image Cropper
org.apache.curator,Curator Framework
androidx.loader,Android Support Library Loader
com.adobe.air.framework,Airglobal
com.facebook.android,Facebook Android SDK
org.junit.jupiter,JUnit Jupiter API
com.ineunet,Knife Utilities
oauth.signpost,Signpost Core
org.onepf,OpenIAB Library
com.mobidevelop.robovm,RoboPods Flurry Analytics IOS
javax.mail,JavaMail API JAR
com.google.guava,Guava: Google Core Libraries For Java
com.google.guava,Guava: Google Core Libraries For Java
org.springframework.social,Foundational Module Containing The ServiceProvider Connect Framework and Service API Invocation Support.
joda-time,Joda Time
com.google.guava,Guava: Google Core Libraries For Java
com.amazonaws,AWS Java SDK For Amazon S3
it.sephiroth.android.library.imagezoom,ImageViewZoom
com.github.jakob-grabner,Jakob Grabner/Circle Progress View
io.segment.analytics.android,Countly
com.google.dagger,Dagger
com.evernote,Android Job
org.mobicents.servers.media.codecs,SPEEX
androidx.appcompat,Android AppCompat Library
com.mikepenz,FastAdapter Library
com.android.support,Android Support Library V4
com.pubnub,PubNub Java SDK
