admobileapps.dangdutlawas_apk, email, $r3 = staticinvoke <com.goodbarber.v2.core.data.languages.Languages: java.lang.String getEmail()>(), com.goodbarber, ImmediateBox($r3) in $r25 = interfaceinvoke $r24.<com.goodbarber.v2.core.data.content.IDataManager: android.graphics.Typeface getTypeface(java.lang.String)>($r3), 
admobileapps.dangdutlawas_apk, email, $r4 = virtualinvoke $r3.<com.goodbarber.v2.core.users.data.GBAppUser: java.lang.String getEmail()>(), com.goodbarber, ImmediateBox($r4) in $r7 = staticinvoke <com.goodbarber.v2.core.users.data.GBapiUserCommerceRequestUtils: java.util.Map getHttpParamsForRefreshToken(java.lang.String__java.lang.String)>($r4__ $r6), 
admobileapps.dangdutlawas_apk, advertisingidClient getadvertisingidInfo, $r7 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r6), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
admobileapps.dangdutlawas_apk, android.location.Location getLongitude, $d3 = virtualinvoke $r3.<android.location.Location: double getLongitude()>(), com.google.android.gms, ImmediateBox($d3) in specialinvoke $r1.<com.google.android.gms.maps.model.LatLng: void <init>(double__double)>($d2__ $d3), 
admobileapps.dangdutlawas_apk, android.location.Location getLongitude, $d0 = virtualinvoke $r1.<android.location.Location: double getLongitude()>(), com.goodbarber, LinkedRValueBox($d0) in <com.goodbarber.v2.core.data.stats.StatsManager: double mLat> = $d0, 
admobileapps.dangdutlawas_apk, email, $r3 = virtualinvoke $r13.<com.goodbarber.v2.core.users.data.GBAppUser: java.lang.String getEmail()>(), com.goodbarber, ImmediateBox($r3) in virtualinvoke $r9.<com.goodbarber.v2.core.common.views.AuthorDefaultAvatarView: void setAvatarUI(java.lang.String__java.lang.String)>($r3__ $r15), 
admobileapps.dangdutlawas_apk, advertisingidClient getInfo, $r4 = virtualinvoke $r3.<com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getInfo()>(), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
admobileapps.dangdutlawas_apk, contact, $r7 = staticinvoke <com.goodbarber.v2.core.data.languages.Languages: java.lang.String getContactRules()>(), com.goodbarber, ImmediateBox($r2) in $z0 = staticinvoke <com.goodbarber.v2.core.common.utils.Utils: boolean isStringValid(java.lang.String)>($r2), 
admobileapps.dangdutlawas_apk, android.location.Location getLatitude, $d2 = virtualinvoke $r3.<android.location.Location: double getLatitude()>(), com.google.android.gms, ImmediateBox($d2) in specialinvoke $r1.<com.google.android.gms.maps.model.LatLng: void <init>(double__double)>($d2__ $d3), 
admobileapps.dangdutlawas_apk, email, $r2 = virtualinvoke $r17.<com.goodbarber.v2.core.users.data.GBAppUser: java.lang.String getEmail()>(), com.goodbarber, ImmediateBox($r4) in $z0 = staticinvoke <com.goodbarber.v2.core.common.utils.Utils: boolean isStringValid(java.lang.String)>($r4), 
admobileapps.dangdutlawas_apk, advertisingidClient getadvertisingidInfo, $r3 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r2), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
admobileapps.dangdutlawas_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(1), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r4 = <com.facebook.ads.redexgen.X.JE: android.hardware.Sensor A01>, 
admobileapps.dangdutlawas_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(4), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r5 = <com.facebook.ads.redexgen.X.JE: android.hardware.SensorEventListener A02>, 
apps.capricon.BetterSexLife_apk, advertisingidClient getadvertisingidInfo, $r4 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r3), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
apps.capricon.BetterSexLife_apk, android.location.Location getLongitude, $d1 = virtualinvoke $r1.<android.location.Location: double getLongitude()>(), androidx.appcompat, ImmediateBox($d1) in virtualinvoke $r3.<androidx.appcompat.app.TwilightCalculator: void calculateTwilight(long__double__double)>($l1__ $d0__ $d1), 
apps.capricon.BetterSexLife_apk, android.location.Location getLatitude, $d0 = virtualinvoke $r1.<android.location.Location: double getLatitude()>(), androidx.appcompat, ImmediateBox($d0) in virtualinvoke $r3.<androidx.appcompat.app.TwilightCalculator: void calculateTwilight(long__double__double)>($l1__ $d0__ $d1), 
apps.capricon.BetterSexLife_apk, advertisingidClient getInfo, $r4 = virtualinvoke $r3.<com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getInfo()>(), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
be.intotheweb.squeezie_apk, android.location.Location getLongitude, $d1 = virtualinvoke $r1.<android.location.Location: double getLongitude()>(), com.localytics, ImmediateBox($d1) in $r4 = specialinvoke r0.<com.localytics.android.LocationHandler: java.util.List _getGeofencesToMonitor(double__double)>($d0__ $d1), 
be.intotheweb.squeezie_apk, android.LocationManager requestLocationUpdates, specialinvoke $r0.<com.localytics.android.LocationManager: void requestLocationUpdates()>(), com.google.android.gms, JimpleLocalBox(r0) in $r5 = r0.<com.localytics.android.LocationManager: com.google.android.gms.common.api.GoogleApiClient mApiClient>, 
be.intotheweb.squeezie_apk, android.location.Location getLatitude, $d0 = virtualinvoke $r5.<android.location.Location: double getLatitude()>(), org.json, ImmediateBox($d0) in virtualinvoke $r1.<org.json.JSONObject: org.json.JSONObject put(java.lang.String__double)>("lat"__ $d0), 
be.intotheweb.squeezie_apk, android.location.Location getLongitude, $d1 = virtualinvoke $r5.<android.location.Location: double getLongitude()>(), org.json, ImmediateBox($d1) in virtualinvoke $r1.<org.json.JSONObject: org.json.JSONObject put(java.lang.String__double)>("lng"__ $d1), 
be.intotheweb.squeezie_apk, android.location.Location getLatitude, $d0 = virtualinvoke $r12.<android.location.Location: double getLatitude()>(), org.json, ImmediateBox($d0) in virtualinvoke $r13.<org.json.JSONObject: org.json.JSONObject put(java.lang.String__double)>("longitude"__ $d0), 
be.intotheweb.squeezie_apk, advertisingidClient getadvertisingidInfo, $r1 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r0), com.google.android.gms, JimpleLocalBox($r9) in specialinvoke $r9.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r10__ $z0), 
be.intotheweb.squeezie_apk, android.location.Location getLatitude, $d0 = virtualinvoke $r1.<android.location.Location: double getLatitude()>(), com.localytics, ImmediateBox($d0) in $r4 = specialinvoke r0.<com.localytics.android.LocationHandler: java.util.List _getGeofencesToMonitor(double__double)>($d0__ $d1), 
be.intotheweb.squeezie_apk, advertisingidClient getInfo, $r2 = virtualinvoke $r1.<com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getInfo()>(), com.google.android.gms, JimpleLocalBox($r9) in specialinvoke $r9.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r10__ $z0), 
be.intotheweb.squeezie_apk, android.LocationManager requestLocationUpdates, specialinvoke $r0.<com.localytics.android.LocationManager: void requestLocationUpdates()>(), com.localytics, JimpleLocalBox($r0) in specialinvoke $r0.<com.localytics.android.LocationManager: void requestLocationUpdates()>(), 
bizomobile.scary.movie.maker_apk, android.hardware.SensorManager getDefaultSensor, $r0 = virtualinvoke $r2.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(1), com.facebook, ImmediateBox($r0) in if $r0 != null goto $r0 = <com.facebook.ads.internal.g.a: android.hardware.Sensor c>, 
bizomobile.scary.movie.maker_apk, email, $r8 = virtualinvoke r0.<org.acra.dialog.CrashReportDialog: android.widget.EditText getEmailPrompt(java.lang.CharSequence)>($r6), org.acra, ImmediateBox($r8) in virtualinvoke r0.<org.acra.dialog.CrashReportDialog: void addViewToDialog(android.view.View)>($r8), 
bizomobile.scary.movie.maker_apk, android.hardware.SensorManager getDefaultSensor, $r0 = virtualinvoke $r2.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(4), com.facebook, ImmediateBox($r0) in if $r0 != null goto $r4 = <com.facebook.ads.internal.g.a: android.hardware.SensorEventListener h>, 
bizomobile.scary.movie.maker_apk, email, $r5 = virtualinvoke r0.<org.acra.dialog.CrashReportDialog: android.view.View getEmailLabel()>(), org.acra, ImmediateBox($r5) in if $r5 == null goto $r5 = virtualinvoke r0.<org.acra.dialog.CrashReportDialog: android.view.View getEmailLabel()>(), 
br.com.tapps.americanfoodtruck_apk, advertisingidClient getadvertisingidInfo, $r7 = staticinvoke <com.mediabrix.android.AdvertisingIdClient: com.mediabrix.android.AdvertisingIdClient$AdInfo getAdvertisingIdInfo(android.content.Context)>($r5), com.mediabrix, JimpleLocalBox(r1) in specialinvoke r1.<com.mediabrix.android.AdvertisingIdClient$AdInfo: void <init>(java.lang.String__boolean)>($r12__ $z0), 
br.com.tapps.americanfoodtruck_apk, android.location.Location getLatitude, $d0 = virtualinvoke $r6.<android.location.Location: double getLatitude()>(), com.mediabrix, ImmediateBox($d0) in staticinvoke <com.mediabrix.android.service.MediaBrixService: void setLongitude(double)>($d0), 
br.com.tapps.californiapizzatruck_apk, advertisingidClient getadvertisingidInfo, $r7 = staticinvoke <com.mediabrix.android.AdvertisingIdClient: com.mediabrix.android.AdvertisingIdClient$AdInfo getAdvertisingIdInfo(android.content.Context)>($r5), com.mediabrix, JimpleLocalBox($r9) in specialinvoke $r9.<com.mediabrix.android.AdvertisingIdClient$AdInfo: void <init>(java.lang.String__boolean)>($r10__ $z0), 
br.com.tapps.californiapizzatruck_apk, android.location.Location getLatitude, $d0 = virtualinvoke $r6.<android.location.Location: double getLatitude()>(), com.mediabrix, ImmediateBox($d0) in staticinvoke <com.mediabrix.android.service.MediaBrixService: void setLongitude(double)>($d0), 
br.com.tapps.chicago.burger.truck_apk, android.location.Location getLatitude, $d0 = virtualinvoke $r6.<android.location.Location: double getLatitude()>(), com.mediabrix, ImmediateBox($d0) in staticinvoke <com.mediabrix.android.service.MediaBrixService: void setLongitude(double)>($d0), 
br.com.tapps.chicago.burger.truck_apk, advertisingidClient getadvertisingidInfo, $r7 = staticinvoke <com.mediabrix.android.AdvertisingIdClient: com.mediabrix.android.AdvertisingIdClient$AdInfo getAdvertisingIdInfo(android.content.Context)>($r5), com.mediabrix, JimpleLocalBox($r9) in specialinvoke $r9.<com.mediabrix.android.AdvertisingIdClient$AdInfo: void <init>(java.lang.String__boolean)>($r10__ $z0), 
br.com.tapps.fashionsalondash_apk, android.location.Location getLatitude, $d0 = virtualinvoke $r6.<android.location.Location: double getLatitude()>(), com.mediabrix, ImmediateBox($d0) in staticinvoke <com.mediabrix.android.service.MediaBrixService: void setLongitude(double)>($d0), 
br.com.tapps.fashionsalondash_apk, advertisingidClient getadvertisingidInfo, $r7 = staticinvoke <com.mediabrix.android.AdvertisingIdClient: com.mediabrix.android.AdvertisingIdClient$AdInfo getAdvertisingIdInfo(android.content.Context)>($r5), com.mediabrix, JimpleLocalBox(r1) in specialinvoke r1.<com.mediabrix.android.AdvertisingIdClient$AdInfo: void <init>(java.lang.String__boolean)>($r12__ $z0), 
br.com.tapps.mydreamfishtank_apk, android.location.Location getLatitude, $d0 = virtualinvoke $r6.<android.location.Location: double getLatitude()>(), com.mediabrix, ImmediateBox($d0) in staticinvoke <com.mediabrix.android.service.MediaBrixService: void setLongitude(double)>($d0), 
br.com.tapps.mydreamfishtank_apk, advertisingidClient getadvertisingidInfo, $r7 = staticinvoke <com.mediabrix.android.AdvertisingIdClient: com.mediabrix.android.AdvertisingIdClient$AdInfo getAdvertisingIdInfo(android.content.Context)>($r5), com.mediabrix, JimpleLocalBox($r9) in specialinvoke $r9.<com.mediabrix.android.AdvertisingIdClient$AdInfo: void <init>(java.lang.String__boolean)>($r10__ $z0), 
cloudpandaph.primarkph_apk, android.location.Location getLongitude, $d0 = virtualinvoke $r1.<android.location.Location: double getLongitude()>(), com.goodbarber, LinkedRValueBox($d0) in <com.goodbarber.v2.core.data.stats.StatsManager: double mLat> = $d0, 
cloudpandaph.primarkph_apk, email, $r3 = virtualinvoke $r13.<com.goodbarber.v2.core.users.data.GBAppApiUser: java.lang.String getEmail()>(), com.goodbarber, ImmediateBox($r3) in virtualinvoke r9.<com.goodbarber.v2.core.common.views.AuthorDefaultAvatarView: void setAvatarUI(java.lang.String__java.lang.String)>($r3__ $r14), 
cloudpandaph.primarkph_apk, email, $r4 = virtualinvoke $r15.<com.goodbarber.v2.core.users.data.GBAppApiUser: java.lang.String getEmail()>(), com.goodbarber, ImmediateBox(r2) in $z0 = staticinvoke <com.goodbarber.v2.core.common.utils.Utils: boolean isStringValid(java.lang.String)>(r2), 
cloudpandaph.primarkph_apk, advertisingidClient getadvertisingidInfo, $r5 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r4), com.google.android.gms, JimpleLocalBox($r9) in specialinvoke $r9.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r10__ $z0), 
cloudpandaph.primarkph_apk, android.location.Location getLatitude, $d0 = virtualinvoke r14.<android.location.Location: double getLatitude()>(), org.json, ImmediateBox($d0) in virtualinvoke r4.<org.json.JSONObject: org.json.JSONObject put(java.lang.String__double)>("longitude"__ $d0), 
cloudpandaph.primarkph_apk, advertisingidClient getInfo, $r2 = virtualinvoke $r1.<com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getInfo()>(), com.google.android.gms, JimpleLocalBox($r9) in specialinvoke $r9.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r10__ $z0), 
cloudpandaph.primarkph_apk, android.location.LocationManager getLastKnownLocation, $r6 = virtualinvoke $r5.<android.location.LocationManager: android.location.Location getLastKnownLocation(java.lang.String)>("gps"), com.mobfox, ImmediateBox($r6) in if $r6 == null goto $r2 = r0.<com.mobfox.sdk.services.MobFoxLocationService$1: com.mobfox.sdk.services.MobFoxLocationService this$0>,FALSE
cloudpandaph.primarkph_apk, email, $r3 = staticinvoke <com.goodbarber.v2.core.data.languages.Languages: java.lang.String getEmail()>(), com.goodbarber, ImmediateBox($r3) in $r22 = interfaceinvoke $r21.<com.goodbarber.v2.core.data.content.IDataManager: android.graphics.Typeface getTypeface(java.lang.String)>($r3), 
